2018-01-04 13:38:02,293 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 13:38:26,380 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:38:26,381 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 13:38:26,382 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:38:26,383 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 13:39:01,047 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:39:01,048 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 13:39:01,050 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:39:01,051 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 13:39:08,366 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:39:08,367 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 13:39:08,368 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:39:08,368 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 13:40:10,170 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:40:10,171 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 13:40:10,172 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:40:10,172 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 13:41:04,682 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:41:04,682 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 13:41:04,683 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:41:04,684 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 13:42:27,696 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:42:27,697 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 13:42:27,699 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:42:27,699 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
